analysis_id,qc_type,batch_id,Cer d18:1/24:0,PC 32:1,PC 40:8
Longit_batch1_28,SPL,1,0.007160381,0.051770165,0.005407955
Longit_batch1_29,SPL,1,0.005532697,0.044799952,0.007482245
Longit_batch1_30,SPL,1,0.008447979,0.056090114,0.008758687
Longit_batch1_PQC 05,BQC,1,0.008455352,0.057872455028197566,0.006251494
Longit_batch1_31,SPL,1,0.009285712,0.061275434,0.005048098
Longit_batch1_32,SPL,1,0.005737532,0.040862236,0.005240504
Longit_batch1_33,SPL,1,0.00469822,0.04512357,0.003888168
Longit_batch1_34,SPL,1,0.004095999,0.034856861081962814,0.004128481
Longit_batch1_35,SPL,1,0.007242017,0.060752449,0.007806626
Longit_batch1_TQC06,TQC,1,0.005655591,0.063647292,0.004603542
Longit_batch1_36,SPL,1,0.010098365943475709,0.040948897,0.005101908
Longit_batch1_37,SPL,1,0.006961461,0.082472895,0.006638224
Longit_batch1_38,SPL,1,0.008030326,0.039899025,0.00465998
Longit_batch1_39,SPL,1,0.007501252,0.056461589,0.007963347
Longit_batch1_40,SPL,1,0.008398711,0.045180928,0.006911252
Longit_batch1_PQC 06,BQC,1,0.008981563,0.06838346,0.006260803
Longit_batch1_41,SPL,1,0.00969667,0.038984976744428475,0.006325894
Longit_batch1_42,SPL,1,0.005473632,0.034866563,0.005073707
Longit_batch1_43,SPL,1,0.0070547,0.063090691,0.004644644
Longit_batch1_44,SPL,1,0.007480772,0.057849816,0.003232963
Longit_batch1_45,SPL,1,0.007446297,0.085901296,0.004500661
Longit_batch1_TQC07,TQC,1,0.007283102,0.065868411,0.004743472
Longit_batch1_46,SPL,1,0.0048959,0.039676174,0.006114238
Longit_batch1_47,SPL,1,0.00679182,0.041965356,0.005270804
Longit_batch1_48,SPL,1,0.009892505,0.073343284,0.005522147
Longit_batch1_49,SPL,1,0.009957444,0.074309361,0.005586801
Longit_batch1_50,SPL,1,0.007442214,0.069900649,0.006756456
Longit_batch1_PQC 07,BQC,1,0.009353312,0.072044493,0.007954793
Longit_batch1_51,SPL,1,0.004845839,0.032895318,0.002675096
Longit_batch1_52,SPL,1,0.008502485,0.039908661495617226,0.005543622
Longit_batch1_53,SPL,1,0.006645764,0.039105898,0.003930023
Longit_batch1_54,SPL,1,0.006058715,0.037163288535726854,0.005919358
Longit_batch1_55,SPL,1,0.005752877,0.041574451,0.004916612
Longit_batch1_TQC08,TQC,1,0.006380775,0.065869222,0.004038916
Longit_batch1_56,SPL,1,0.005738461,0.043567152939459744,0.004855614
Longit_batch1_57,SPL,1,0.010300698373323714,0.045560296,0.007000827
Longit_batch1_58,SPL,1,0.010571034878521622,0.052927031,0.007430599
Longit_batch1_59,SPL,1,0.007381669,0.040634020086273495,0.005187235
Longit_batch1_60,SPL,1,0.009728837,0.055457174,0.004671995
Longit_batch1_PQC 08,BQC,1,0.006914143,0.067539999,0.006490486
Longit_batch1_61,SPL,1,0.008522017,0.086615541,0.006490296
Longit_batch1_62,SPL,1,0.00548387,0.030639893983982036,0.002813046
Longit_batch1_63,SPL,1,0.008609236,0.049597519,0.005111653
Longit_batch1_64,SPL,1,0.007954332,0.064243199,0.006118479
Longit_batch1_65,SPL,1,0.008976782,0.059427571848239616,0.006946372
Longit_batch1_PQC 09,BQC,1,0.010796824,0.057216386960943735,0.006349602
Longit_batch1_PQC 09b,BQC,1,0.009359482,0.063752037,0.006407644
Longit_BLANK-02 (Eluent A),SBLK,1,0.035625121,0.15595752035358057,0.002861196
Longit_batch2_TQC09,TQC,2,0.007187828,0.052030405,0.004076351
Longit_batch2_TQC10,TQC,2,0.007641472,0.059040998,0.00538728
Longit_batch2_PQC 10,BQC,2,0.008631944,0.048452887853198304,0.005053452
Longit_batch2_PQC 11,BQC,2,0.008413295,0.049977264,0.006080751
Longit_batch2_1,SPL,2,0.010041713309907588,0.046826793,0.006583037
Longit_batch2_2,SPL,2,0.009881916,0.048538115416904684,0.00327314
