analysis_id,qc_type,CE 18:1,CE 18:1 d7 (ISTD),Cer d18:1/16:0,Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),LPC 18:1 (a),LPC 18:1 (ab) d7 (ISTD),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 33:1 d7 (ISTD),PC 40:6,PC 40:8,PE 33:1 d7 (ISTD),PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 33:1 d7 (ISTD),PI 34:1,SM 32:1,SM 34:1,SM 36:2 d9 (ISTD),TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:1 d7 (ISTD) [-15:0],TG 48:1 d7 (ISTD) [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_batch4_56,SPL,1289405.9,405308.8,34246.938,883010.4,1492936.8,1031237.44,4395395,3351939.5,102017.234,1214971.5,3626041.3,3118661.5,119009.63,38792.25,109224.984,12104.592,21436.111,26684.559,50090.49,1801135,28929206,601053.25,2388271.5,6416464,1544073.9,2003881.6,2122343.8,1714776.3,7709140
Longit_batch4_57,SPL,1590068.1,329037.28,50338.18,1839692.5,1472497.9,1250340.1,4805864.5,4857481.5,125360.48,2023297.8,3351909.5,2706712.5,118862.03,32840.63,118957.59,17975.379,29070.889,25396.406,61889.625,3487251.8,35810776,539804.8,2091351.4,7699369.5,1333380.6,1554504,2270425,1999637.4,8638640
Longit_batch4_58,SPL,1271018.9,286146.22,60090.914,1897735.4,1400765.8,1016414.9,4423367.5,3896437.8,62992.44,1939513.9,3512746.3,3576301.3,149202.39,34629.543,132210.81,25760.309,24982.205,24599.229,136010.33,3360603,40256320,560592.2,2138982,8502664,995405.4,1272906.6,2986685.8,2231295,11238757
Longit_batch4_59,SPL,1305867.4,365773.56,50439.1,1154375.6,1577487.6,1073562.3,4329246.5,3089595.5,294925.06,1863329.3,4919389,3276487.8,138127,37863.164,107985.31,14941.422,17516.234,20963.518,64981.766,3615616.5,39008908,510213.63,2288493,6381724,1670271.4,1983537.6,1867128,2493852.5,10165769
Longit_batch4_60,SPL,1136004.9,336967.44,55202.773,1243831.9,1730559.3,990679.8,4548336.5,3404547.5,74595.445,1686665.5,3940074,3647708.5,161570.55,35557.89,151977.19,20397.203,26088.945,26547.82,58586.406,2370808,31591324,536973.56,1203483.5,3904231.5,1389803.4,1697784.6,1179033,1210898.4,4255411
Longit_batch4_PQC 35,BQC,1250331.5,360596.56,56970.902,1718588.1,1753078.4,1082131.8,4410280.5,4347494.5,112968.16,1896419.5,3216559.5,4468200,152157.36,26065.14,155403.5,25682.188,23549.762,28992.063,92015.67,2878998.5,39868732,542050.4,2127204.3,7722263.5,1207927.5,1585382.4,1771482.6,1444688.5,7092048
Longit_batch4_61,SPL,893739.2,381600.25,43582.86,1119596.8,1829813.3,1157232,4558046,3823872.8,18954.773,1260109.5,4521827.5,1217011,51360.55,27593.38,242276.3,19607.352,27136.121,26768.813,79474.17,829206.2,23144942,652273.25,1188221.3,3198436.5,1622295.5,2180652,611402.25,657000.44,2643481
Longit_batch4_62,SPL,1484380.5,490284.84,50645.55,1721155,1692365.9,805739,4406570.5,2411612,49670.79,1482645.5,3277725.3,2741428.3,151312.16,30092.65,93349.56,39513.234,40806.39,24992.986,54764.184,4105596,39415020,505169.06,434922.2,1537552.6,1863633,2026679.5,390787.94,371598.78,1436952.9
Longit_batch4_63,SPL,1014251.6,292879.75,42248.09,1388542.8,1964717.8,1015873.4,4401096,2776331.5,37847.957,1451397.1,3730873.8,3254604,127537,40439.37,201917.3,19067.492,20270.371,26764.8,53957.668,2173612.5,33064668,573998.3,2472346,8569713,1026800.4,1437009.8,2175625.8,1710982.1,7036166
Longit_batch4_64,SPL,1197750.1,345190.16,52990.848,1739401.4,1827360.5,1276398.3,4540046,3322512.3,55497.938,1720693,3526427.8,2603817,143924.17,40369.895,122401.59,20026.174,24409.363,29228.04,42014.03,2952247.8,38431060,634804.44,1714350.3,4946819,1291488,1741574.8,1128106.9,1011597.9,4809641.5
Longit_batch4_65,SPL,1863750.1,368751,45398.45,1963119,1598034.8,1217679.5,4625772,4467224.5,64913.95,2242404,3294146.8,3574766,230620.36,36676.05,104903.3,35370.73,42415.293,26626.303,106559.9,2631876.3,40706210,621510.1,810575.75,2962468,2243416.8,2440420.3,720954.6,533713.8,2439094.8
Longit_batch4_PQC 36,BQC,1229168.9,281936,54221.13,1631539.6,1380355.8,1306821.8,4530682.5,4118634,111356.4,1906431.5,3391110,3395598,154416.5,38383.496,155926.36,28919.422,30302.176,22836.934,72125.55,3419965.3,41017252,577283,2399789.8,8441892,1234671.5,1564553.3,1851977.9,1628440.5,8463673
Longit_batch4_PQC 36b,BQC,1128748.1,268409.06,69193.11,1551758.5,1747442.3,1063941.1,4688865,4482205.5,88806.35,1822676.1,3852600.5,3360009.5,155400.2,35948.203,139232.11,26071.018,24734.39,26228.086,81200.63,2720545,39523436,537692.9,2126381.8,7621128,1229234.6,1760718.1,2211164.5,1811384.6,8647831
Longit_batch5_PQC 37,BQC,994596.1,251795.72,55574.492,1666758.4,1442283.9,1264905.8,4703702.5,4305397.5,95365.69,1832596.1,5179581,3206316.8,139613.1,40261.59,157160.94,22450.666,29587.494,25516.918,76071.87,3071468.3,40053256,574346.75,2347013,7661842,1533374.3,1733858.4,2160995.3,1844252.8,7574523
Longit_batch5_PQC 38,BQC,1034908.5,273751.72,61973.277,1540332.3,1445200.1,1296550.6,4943858.5,4407857.5,100309.69,1958011.5,3726969.5,3141212.5,128600.945,40176.746,145536.69,27656.979,26518.81,24821.871,79908.234,3085634.5,38890348,517060.13,2274746.5,7549696,1321108.8,1614960.4,2173295.8,1752968.9,7894607
Longit_batch5_1,SPL,715101.25,203991.52,52894.43,2045609.3,1591746.1,1050280.5,4859999,3938095.3,53044.02,2361763.3,3563784.5,4908918,138833.16,32201.078,121782.086,32546.63,33133.383,28240.605,70800.84,2553548.3,31806844,599601.25,3428077,10943898,960352.1,1152157.5,3189557,2162351.3,11002524
Longit_batch5_2,SPL,1013320.3,179368.7,73352,1370532.6,1504499,1189592.6,4700504,3507373.8,131691.33,3101330.5,3658454.3,3996584,108368.98,29488.697,254754.7,15524.745,18143.027,29038.367,72427.58,3422030.5,39014156,602947.1,2111010.3,7026094,1145778.6,1365832.9,1834822,2785228.3,8428549
Longit_batch5_3,SPL,1060189.6,268494.84,60745.215,1335976.4,1614595.8,1371562,4568226.5,4145607.3,61206.184,1673821.3,3928998.5,2990873.3,91950.17,36054.14,121724.15,21976.885,21297.803,30121.049,79072.58,2242618.8,37779384,702677.4,2104911,6403673.5,1446769,1485119,2193573.5,1566527.8,7857508
Longit_batch5_4,SPL,986239.3,375479.25,94041.36,1331622.3,1755990.3,741658.2,4738799,2807674.3,32342.37,2638702.5,4389292,4093083.3,96231.21,36544.773,91044.55,16636.412,14571.74,23811.195,38508.137,3159381.5,43630212,519134.25,393282.44,1179818.1,1993469,2608316.8,490179.47,386395.06,1817533.9
Longit_batch5_5,SPL,1334723.8,303623.13,66044.27,957114.44,1473929,1212053.9,4777448.5,5238041,27836.926,2085372.4,4369272.5,2557936,131123.84,40044.883,91744.83,23143.451,30860.662,28675.555,50212.336,2640260.5,41139844,542908.1,341886.75,1265352.8,2446947,2600594.8,429818.94,339533.5,1648882.9
